bcr_sample_barcode	shipment_portion_bcr_aliquot_barcode	shipment_portion_day_of_shipment	shipment_portion_month_of_shipment	shipment_portion_year_of_shipment	bcr_shipment_portion_uuid	center_id	plate_id	portion_number
TCGA-E2-A15P-01A	TCGA-E2-A15P-01A-21-A13E-20	18	3	2011	776d3800-9f60-4eb4-930c-8bb036607730	20	A13E	21
TCGA-E2-A15R-01A	TCGA-E2-A15R-01A-21-A13E-20	18	3	2011	7bec7525-d926-443f-a521-09334b963a89	20	A13E	21
TCGA-E2-A15S-01A	TCGA-E2-A15S-01A-21-A13E-20	17	3	2011	19e14655-2099-4ebc-91eb-d95db082bbc7	20	A13E	21
TCGA-E2-A15T-01A	TCGA-E2-A15T-01A-21-A13E-20	18	3	2011	e8fe1a3f-ec8a-49a8-a932-01341de67004	20	A13E	21
TCGA-E2-A1AZ-01A	TCGA-E2-A1AZ-01A-21-A13E-20	18	3	2011	187a4af6-1941-419e-a58d-d3fb18510b65	20	A13E	21
TCGA-E2-A1B0-01A	TCGA-E2-A1B0-01A-21-A13E-20	18	3	2011	2eae7190-37af-4257-9a9e-29a8c937a513	20	A13E	21
TCGA-E2-A1B1-01A	TCGA-E2-A1B1-01A-11-A13E-20	18	3	2011	c476545a-0d56-4d49-9180-bb707d02a1c9	20	A13E	11
TCGA-E2-A1B4-01A	TCGA-E2-A1B4-01A-21-A13E-20	18	3	2011	4b198843-12fe-41e0-af18-0638dd948c6a	20	A13E	21
TCGA-E2-A1B5-01A	TCGA-E2-A1B5-01A-31-A13E-20	17	3	2011	96c90192-0896-42a2-bc87-ae6bf8bb5c9f	20	A13E	31
TCGA-E2-A1B6-01A	TCGA-E2-A1B6-01A-21-A13E-20	18	3	2011	dc503863-7967-469b-b966-69dcea2dfb86	20	A13E	21
TCGA-E2-A1BC-01A	TCGA-E2-A1BC-01A-21-A13E-20	18	3	2011	8d3961ff-444a-4808-a697-c21898446648	20	A13E	21
TCGA-E2-A1BD-01A	TCGA-E2-A1BD-01A-21-A13E-20	18	3	2011	139a9795-35ff-4c82-9530-fb103ea5ca8c	20	A13E	21
TCGA-E2-A1IG-01A	TCGA-E2-A1IG-01A-21-A17J-20	27	7	2011	E1A96343-CCC9-4E16-A96D-749528DA4DFB	20	A17J	21
TCGA-E2-A1IL-01A	TCGA-E2-A1IL-01A-21-A17J-20	27	7	2011	DBDB0A12-88EA-4A7B-A215-E7E83ADC666F	20	A17J	21
TCGA-E2-A1IU-01A	TCGA-E2-A1IU-01A-21-A17J-20	27	7	2011	19429156-19AD-44F5-A671-1FEF7A6E693C	20	A17J	21
TCGA-E2-A1L6-01A	TCGA-E2-A1L6-01A-21-A17J-20	27	7	2011	BCA87047-7257-4983-9E8C-E6811B33A10E	20	A17J	21
TCGA-E2-A1L7-01A	TCGA-E2-A1L7-01A-21-A17J-20	27	7	2011	9A9BAAF4-427C-48CD-AE41-25FD84AE612F	20	A17J	21
TCGA-E2-A1L8-01A	TCGA-E2-A1L8-01A-21-A17J-20	27	7	2011	DA720181-484F-4EFF-8F96-B7E4298C751B	20	A17J	21
TCGA-E2-A1LB-01A	TCGA-E2-A1LB-01A-21-A17J-20	27	7	2011	82C21AA1-4547-4DA6-AAF4-CA207C327EA1	20	A17J	21
TCGA-E2-A1LG-01A	TCGA-E2-A1LG-01A-41-A17J-20	27	7	2011	ED36C1D5-F0B6-4FF7-BB8B-34A94CF24075	20	A17J	41
TCGA-E2-A1LK-01A	TCGA-E2-A1LK-01A-11-A17K-20	27	7	2011	F5FD203D-214A-42F1-AAF9-C9EE9B12C4FC	20	A17K	11
TCGA-E2-A1LL-01A	TCGA-E2-A1LL-01A-21-A17J-20	27	7	2011	FDF3231F-D485-4A5E-B10B-43D9AB536A66	20	A17J	21
TCGA-E2-A1LS-01A	TCGA-E2-A1LS-01A-21-A17J-20	27	7	2011	9E7E3F34-FAA6-4A3D-A0CB-D733C45B9B65	20	A17J	21
TCGA-E9-A1N3-01A	TCGA-E9-A1N3-01A-21-A17J-20	27	7	2011	167BCCDB-AFAA-49F7-B3AF-6D5BD49E7422	20	A17J	21
TCGA-E9-A1N4-01A	TCGA-E9-A1N4-01A-21-A17K-20	27	7	2011	E593A9F8-484A-4693-9D6C-75DDC09DEA59	20	A17K	21
TCGA-E9-A1N5-01A	TCGA-E9-A1N5-01A-21-A17J-20	27	7	2011	1EFEB02C-7E68-449E-9F4F-8B8F985AB01E	20	A17J	21
TCGA-E9-A1N6-01A	TCGA-E9-A1N6-01A-21-A17K-20	27	7	2011	4A7C1F26-54E8-40E4-A966-B01498C98782	20	A17K	21
TCGA-E9-A1N8-01A	TCGA-E9-A1N8-01A-21-A17K-20	27	7	2011	8EA109E3-1E03-468C-B117-43CBD5C7571D	20	A17K	21
TCGA-E9-A1N9-01A	TCGA-E9-A1N9-01A-21-A17K-20	27	7	2011	F211C550-DE9F-47F6-A1C2-546F560AC335	20	A17K	21
TCGA-E9-A1NA-01A	TCGA-E9-A1NA-01A-21-A17K-20	27	7	2011	693F43FC-0CB7-44E8-90C4-7C1BC12D7DA6	20	A17K	21
TCGA-E9-A1ND-01A	TCGA-E9-A1ND-01A-21-A17J-20	27	7	2011	C323E6AB-8BA2-4347-A5D0-931A5D9754A1	20	A17J	21
TCGA-E9-A1NE-01A	TCGA-E9-A1NE-01A-11-A17K-20	27	7	2011	8EB2885B-F9C7-4FCC-A9FE-A7673AF9A3EC	20	A17K	11
TCGA-E9-A1NF-01A	TCGA-E9-A1NF-01A-21-A17K-20	27	7	2011	710E4246-7A43-4A0A-B6E2-0DDDC3420C59	20	A17K	21
TCGA-E9-A1NG-01A	TCGA-E9-A1NG-01A-11-A17K-20	27	7	2011	38B632FE-CDCB-4B5D-9687-86977604C842	20	A17K	11
TCGA-E9-A1NH-01A	TCGA-E9-A1NH-01A-21-A17K-20	27	7	2011	14A33BCB-EC41-48DA-9C49-CFBCC3FAB7DE	20	A17K	21
TCGA-E9-A1NI-01A	TCGA-E9-A1NI-01A-21-A17K-20	27	7	2011	E1EDA531-B715-4139-9C80-C91FFC100FC2	20	A17K	21
TCGA-E9-A1QZ-01A	TCGA-E9-A1QZ-01A-41-A17J-20	27	7	2011	0794C219-5E82-4C62-9E40-091A0C71C6B4	20	A17J	41
TCGA-E9-A1R0-01A	TCGA-E9-A1R0-01A-11-A17J-20	27	7	2011	79BDC020-426C-41DF-8B45-BE0425815405	20	A17J	11
TCGA-E9-A1R2-01A	TCGA-E9-A1R2-01A-21-A17J-20	27	7	2011	E2A04B43-75E6-4EDE-8536-D3CFE5EB9113	20	A17J	21
TCGA-E9-A1R3-01A	TCGA-E9-A1R3-01A-41-A17J-20	27	7	2011	FA7047E6-5A4E-4979-A1EE-ECAC9434F163	20	A17J	41
TCGA-E9-A1R4-01A	TCGA-E9-A1R4-01A-11-A17J-20	27	7	2011	146230F2-2E64-46D7-84DA-719567028426	20	A17J	11
TCGA-E9-A1R5-01A	TCGA-E9-A1R5-01A-21-A17J-20	27	7	2011	95DAA854-64B7-48D2-A82B-BACBFEA25944	20	A17J	21
TCGA-E9-A1R6-01A	TCGA-E9-A1R6-01A-21-A17J-20	27	7	2011	E3B3D877-30E8-48F5-BC12-87618C1DBB34	20	A17J	21
